hash,intro,Parent,parents,parent,pf1,pf2,pf4,Child,children,child,cf1,cf4,Grandchild,grandchildren,grandchild,gf1,gf2
1,"Your personal task is to develop a system for a company, teams and their programmers.",Company,companies,company,id,address,management,Team,teams,team,name,boss,Programmer,programmers,programmer,identifier,qualifications
2,"Your personal task is to develop a system for a company, teams and their programmers.",Company,companies,company,id,name,management,Team,teams,team,skill,boss,Programmer,programmers,programmer,identifier,experience
3,"Your personal task is to develop a system for a cafe, seating and their customers.",Cafe,cafes,cafe,id,address,best,Seating,seatings,seating,location,reviewer,Customer,customers,customer,identifier,orders
4,"Your personal task is to develop a system for a cafe, seating and their customers.",Cafe,cafes,cafe,id,name,reserved,Seating,seatings,seating,location,reviewer,Customer,customers,customer,identifier,orders
5,"Your personal task is to develop a system for a zoo, exhibits and their animals.",Zoo,zoos,zoo,id,city,newest,Exhibit,exhibits,exhibit,name,latest,Animal,animals,animal,identifier,weight
6,"Your personal task is to develop a system for a zoo, exhibits and their animals.",Zoo,zoos,zoo,id,name,latest,Exhibit,exhibits,exhibit,environment,newest,Animal,animals,animal,identifier,height
7,"Your personal task is to develop a system for a gallery, exhibitions and their paintings.",Gallery,galleries,gallery,id,city,upcoming,Exhibition,exhibitions,exhibition,artist,rarest,Painting,paintings,painting,identifier,price
8,"Your personal task is to develop a system for a gallery, exhibitions and their paintings.",Gallery,galleries,gallery,id,name,upcoming,Exhibition,exhibitions,exhibition,genre,rarest,Painting,paintings,painting,identifier,cost
9,"Your personal task is to develop a system for a cinema, films and their actors.",Cinema,cinemas,cinema,id,location,blockbuster,Film,films,film,name,protagonist,Actor,actors,actor,identifier,awards
10,"Your personal task is to develop a system for a cinema, films and their actors.",Cinema,cinemas,cinema,id,city,blockbuster,Film,films,film,name,protagonist,Actor,actors,actor,identifier,age
11,"Your personal task is to develop a system for a garden, plots and their flowers.",Garden,gardens,garden,id,location,patio,Plot,plots,plot,name,seasonal,Flower,flowers,flower,identifier,height
12,"Your personal task is to develop a system for a garden, plots and their flowers.",Garden,gardens,garden,id,city,patio,Plot,plots,plot,owner,seasonal,Flower,flowers,flower,identifier,height
13,"Your personal task is to develop a system for a dealership, cars and their drivers.",Dealership,dealerships,dealership,id,name,popular,Car,cars,car,manufacturer,owner,Driver,drivers,driver,identifier,experience
14,"Your personal task is to develop a system for a dealership, cars and their drivers.",Dealership,dealerships,dealership,id,location,discounted,Car,cars,car,engine,owner,Driver,drivers,driver,identifier,experience
15,"Your personal task is to develop a system for a radio, channels and their presenters.",Radio,radios,radio,id,name,news,Channel,channels,channel,music,guest,Presenter,presenters,presenter,identifier,wage
16,"Your personal task is to develop a system for a radio, channels and their presenters.",Radio,radios,radio,id,name,sport,Channel,channels,channel,genre,guest,Presenter,presenters,presenter,identifier,salary
17,"Your personal task is to develop a system for an orchestra, musicians and their instruments.",Orchestra,orchestras,orchestra,id,city,conductor,Musician,musicians,musician,name,preferred,Instrument,instruments,instrument,identifier,grade
18,"Your personal task is to develop a system for an orchestra, musicians and their instruments.",Orchestra,orchestras,orchestra,id,location,conductor,Musician,musicians,musician,surname,preferred,Instrument,instruments,instrument,identifier,grade
19,"Your personal task is to develop a system for a supermarket, stores and their products.",Supermarket,supermarkets,supermarket,id,name,flagship,Shop,shops,shop,location,popular,Product,products,product,identifier,price
20,"Your personal task is to develop a system for a supermarket, stores and their products.",Supermarket,supermarkets,supermarket,id,name,flagship,Shop,shops,shop,city,discounted,Product,products,product,identifier,weight
21,"Your personal task is to develop a system for a mall, shops and their products.",Mall,malls,mall,id,location,oldest,Shop,shops,shop,name,discounted,Product,products,product,identifier,weight
22,"Your personal task is to develop a system for a mall, shops and their products.",Mall,malls,mall,id,city,newest,Shop,shops,shop,name,popular,Product,products,product,identifier,price
23,"Your personal task is to develop a system for a hairdresser, stylists and their haircuts.",Hairdresser,hairdressers,hairdresser,id,location,boss,Stylist,stylists,stylist,name,popular,Haircut,haircuts,haircut,identifier,price
24,"Your personal task is to develop a system for a hairdresser, stylists and their haircuts.",Hairdresser,hairdressers,hairdresser,id,address,manager,Stylist,stylists,stylist,skill,popular,Haircut,haircuts,haircut,identifier,price
25,"Your personal task is to develop a system for a university, companies and their lecturers.",University,universities,university,id,city,oldest,Department,departments,department,topic,manager,Lecturer,lecturers,lecturer,identifier,grade
26,"Your personal task is to develop a system for a university, companies and their lecturers.",University,universities,university,id,location,newest,Department,departments,department,topic,boss,Lecturer,lecturers,lecturer,identifier,grade
27,"Your personal task is to develop a system for a gym, trainers and their exercises.",Gym,gyms,gym,id,name,boss,Trainer,trainers,trainer,expertise,easiest,Exercise,exercises,exercise,identifier,duration
28,"Your personal task is to develop a system for a gym, trainers and their exercises.",Gym,gyms,gym,id,location,manager,Trainer,trainers,trainer,name,expert,Exercise,exercises,exercise,identifier,duration
29,"Your personal task is to develop a system for a building, apartments and their tenants.",Building,buildings,building,id,country,penthouse,Apartment,apartments,apartment,name,owner,Tenant,tenants,tenant,identifier,age
30,"Your personal task is to develop a system for a building, apartments and their tenants.",Building,buildings,building,id,city,studio,Apartment,apartments,apartment,name,owner,Tenant,tenants,tenant,identifier,age
31,"Your personal task is to develop a system for a market, stalls and their products.",Market,markets,market,id,village,popular,Stall,stalls,stall,owner,latest,Product,products,product,identifier,price
32,"Your personal task is to develop a system for a market, stalls and their products.",Market,markets,market,id,location,popular,Stall,stalls,stall,name,newest,Product,products,product,identifier,weight
33,"Your personal task is to develop a system for an arcade, machines and their games.",Arcade,arcades,arcade,id,name,popular,Machine,machines,machine,manufacturer,newest,Game,games,game,identifier,score
34,"Your personal task is to develop a system for an arcade, machines and their games.",Arcade,arcades,arcade,id,address,newest,Machine,machines,machine,manufacturer,popular,Game,games,game,identifier,score
35,"Your personal task is to develop a system for a diner, menus and their dishes.",Diner,diners,diner,id,name,lunch,Menu,menus,menu,cuisine,seasonal,Dish,dishes,dish,identifier,price
36,"Your personal task is to develop a system for a diner, menus and their dishes.",Diner,diners,diner,id,address,dessert,Menu,menus,menu,cuisine,seasonal,Dish,dishes,dish,identifier,cost
